1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
R 6240 -589  544 -1630
W 6260  646  615 -1080
R 6260 -589  544 -1630
W 6280  646  615 -1080
R 6280 -589  544 -1630
W 6300  646  615 -1080
R 6300 -589  544 -1630
W 6320  646  615 -1080
R 6320 -589  544 -1630
W 6340  646  615 -1080
R 6340 -589  544 -1630
W 6360  646  615 -1080
R 6360 -589  544 -1630
W 6380  646  615 -1080
R 6380 -589  544 -1630
W 6400  646  615 -1080
R 6400 -589  544 -1630
W 6420  646  615 -1080
R 6420 -589  544 -1630
W 6440  646  615 -1080
R 6440 -589  544 -1630
W 6460  646  615 -1080
R 6460 -589  544 -1630
W 6480  646  615 -1080
R 6480 -589  544 -1630
W 6500  646  615 -1080
R 6500 -589  544 -1630
W 6520  646  615 -1080
R 6520 -589  544 -1630
W 6540  646  615 -1080
R 6540 -589  544 -1630
W 6560  646  615 -1080
R 6560 -589  544 -1630
W 6580  646  615 -1080
R 6580 -589  544 -1630
W 6600  646  615 -1080
R 6600 -589  544 -1630
W 6620  646  615 -1080
R 6620 -589  544 -1630
W 6640  646  615 -1080
R 6640 -589  544 -1630
W 6660  646  615 -1080
R 6660 -589  544 -1630
W 6680  646  615 -1080
R 6680 -589  544 -1630
W 6700  646  615 -1080
R 6700 -589  544 -1630
W 6720  646  615 -1080
R 6720 -589  544 -1630
W 6740  646  615 -1080
R 6740 -589  544 -1630
W 6760  646  615 -1080
R 6760 -589  544 -1630
W 6780  646  615 -1080
R 6780 -589  544 -1630
W 6800  646  615 -1080
R 6800 -589  544 -1630
W 6820  646  615 -1080
R 6820 -589  544 -1630
W 6840  646  615 -1080
R 6840 -589  544 -1630
W 6860  646  615 -1080
R 6860 -589  544 -1630
W 6880  646  615 -1080
R 6880 -589  544 -1630
W 6900  646  615 -1080
R 6900 -589  544 -1630
W 6920  646  615 -1080
R 6920 -589  544 -1630
W 6940  646  615 -1080
R 6940 -589  544 -1630
W 6960  646  615 -1080
R 6960 -589  544 -1630
W 6980  646  615 -1080
R 6980 -589  544 -1630
W 7000  646  615 -1080
R 7000 -589  544 -1630
W 7020  646  615 -1080
R 7020 -589  544 -1630
W 7040  646  615 -1080
R 7040 -589  544 -1630
W 7060  646  615 -1080
R 7060 -589  544 -1630
W 7080  646  615 -1080
R 7080 -589  544 -1630
W 7100  646  615 -1080
R 7100 -589  544 -1630
W 7120  646  615 -1080
R 7120 -589  544 -1630
W 7140  646  615 -1080
R 7140 -589  544 -1630
W 7160  646  615 -1080
R 7160 -589  544 -1630
W 7180  646  615 -1080
R 7180 -589  544 -1630
