THIS IS A GOOD ONE

wheel_init
pre_auton
%  batt 7.80v 8.19v
L: t_push=    70
usercontrol
% -- Start auto_a
DUMP_MONITOR=START
DUMP_MONITOR=MONITOR
WHEEL_MONITOR=MONITOR
W 10240 -158  345 -889
R 10240  114 1154 -1439
D 10260 -127  -34    8
W 10260 -158  340 -890
R 10260  129 1170 -1440
D 10280 -127  -34    0
W 10280 -158  334 -891
R 10280  145 1187 -1441
D 103-36  -16
W 10320 -158  323 -892
R 10320  176 1220 -1442
D 10340 -127  -35    8
W 10340 -158  317 -893
R 10340  193 1237 -1443
D 10360 -127  -35    0
W 10360 -157  312 -893
R 10360  209 1253 -1443
D27  -35    0
W 10400 -157  300 -894
R 10400  241 1286 -1444
D 10420 -127  -34    8
W 10420 -157  295 -894
R 10420  257 1302 -1444
D 10440 -127  -34    0
W 10440 -157  289 -895
R 10440  272 1318 -140 -127  -34    0
W 10480 -157  278 -896
R 10480  304 1350 -1446
D 10500 -127  -35   -8
W 10500 -157  273 -897
R 10500  319 1366 -1447
D 10520 -127  -28   58
W 10520 -157  268 -891
R 10520  334 13780560  40  -36  -25
W 10560 -157  261 -889
R 10560  356 1398 -1439
D 10580  40  -36    0
W 10580 -157  258 -890
R 10580  363 1406 -1440
D 10600  40  -36    0
W 10600 -157  256 -891
R 10600  368 14100660  40  -35    0
W 10660 -157  254 -899
R 10660  374 1418 -1449
D 10680  40  -34    8
W 10680 -157  254 -893
R 10680  374 1418 -1443
D 10700  40  -36  -16
W 10700 -157  255 -889
R 10700  370 14140740  40   -1  141
W 10740 -157  259 -876
R 10740  362 1400 -1426
D 10760  40   12  108
W 10760 -157  262 -868
R 10760  357 1390 -1418
D 10780   0   31  158
W 10780 -157  265 -859
R 10780  352 13780880  13  108  183
W 10880 -159  283 -830
R 10880  310 1317 -1380
D 10900   3  131  191
W 10900 -159  287 -826
R 10900  300 1304 -1376
D 10920   0  158  225
W 10920 -160  291 -824
R 10920  288 12900960   1  195  166
W 10960 -161  300 -819
R 10960  264 1262 -1369
D 10980  -2  211  133
W 10980 -162  304 -816
R 10980  252 1249 -1366
D 11000   0  228  141
W 11000 -162  309 -811
R 11000  240 12341080 -12  311  175
W 11080 -166  329 -791
R 11080  190 1170 -1341
D 11100 -13  315   33
W 11100 -167  334 -787
R 11100  176 1154 -1337
D 11120   0  326   91
W 11120 -168  339 -782
R 11120  164 11381160  -6  342   58
W 11160 -170  349 -771
R 11160  138 1106 -1321
D 11180   0  346   33
W 11180 -171  354 -767
R 11180  124 1089 -1317
D 11200   0  352   50
W 11200 -172  359 -762
R 11200  110 1072
D 11240  -4  360   25
W 11240 -175  369 -752
R 11240   83 1038 -1302
D 11260  -3  360    0
W 11260 -176  375 -746
R 11260   69 1020 -1296
D 11280  -1  360    0
W 11280 -178  380 -741
R 11280   56 1285
D 11320  -1  360   -8
W 11320 -181  390 -730
R 11320   28  968 -1280
D 11340   0  360    0
W 11340 -182  396 -725
R 11340   14  951 -1275
D 11360  -1  360    0
W 11360 -184  401 -719
R 11360  17 -1264
