SSS v= 8073  t=  240
SSS -213  3539  1356    19
%P VOLT1   = 7978
%P VOLT2   = 8073
%P S2_SC   =  0.99
%P L_ANG_MAX = 240
B 191 739   29  130
B 201 757   29  141
B 211 766   29  151
B 221 771   29  161
B 231 774   29  171
B 241 776   29  181
B 251 777   29  190
B 261 779   29  199
B 271 779   29  207
pull out 211
B 281 779    9  215
B 291 779    9  221
B 301 778    9  228
B 311 784    9  235
B 321 790    9  241
B 331 792    9  245
B 341 794    9  250
B 351 795    9  255
B 361 795    9  259
B 371 796    9  263
B 381 796    9  266
B 391 796    9  268
B 401 796    9  270
B 411 796    9  271
B 421 797    9  272
B 431 797    9  273
B 441 797    9  273
B 451 797    9  273
B 461 797    9  273
B 471 797    9  273
B 481 797    9  273
B 491 797    9  273
B 501 798    9  273
B 511 798    9  272
B 521 797    9  270
B 531 798    9  266
B 541 798    9  263
B 551 798    9  259
B 561 798    9  255
B 571 798    9  251
B 581 797    9  248
B 592 797    9  246
B 602 797    9  243
B 612 797    9  242
B 622 798    9  240
B 632 798    9  239
B 642 798    9  237
B 652 798    9  235
B 662 798    9  235
B 672 798    9  233
B 683 798    9  231
B 694 798    9  230
B 705 799    9  229
B 715 798    9  227
B 727 798    9  226
B 737 798    9  225
B 747 798    9  223
B 757 798    9  223
B 767 798    9  222
B 778 798    9  221
B 789 799    9  219
B 799 799    9  219
B 810 798    9  217
B 820 799    9  217
B 831 799    9  215
B 841 799    9  215
B 851 798    9  214
B 862 799    9  213
B 872 799    9  211
B 882 799    9  211
B 892 798    9  210
B 902 798    9  210
B 912 799    9  209
B 922 798    9  209
B 932 798    9  208
B 942 799    9  207
B 952 798    9  207
B 962 799    9  207
B 973 798    9  207
B 983 799    9  207
B 993 799    9  207
B 1003 799    9  207
B 1014 799    9  207
B 1024 799    9  207
B 1034 799    9  207
B 1045 799    9  207
B 1057 799    9  207
B 1067 799    9  207
B 1077 799    9  207
B 1087 799    9  207
B 1097 799    9  207
B 1107 799    9  207
B 1117 799    9  207
B 1128 799    9  207
B 1138 799    9  207
B 1149 799    9  207
B 1159 799    9  207
B 1170 799    9  207
B 1180 799    9  207
B 1191 799    9  207
B 1201 799    9  207
B 1212 799    9  207
B 1223 799    9  207
B 1234 799    9  207
B 1244 799    9  207
B 1254 799    9  207
B 1264 799    9  207
B 1274 799    9  207
B 1284 799    9  207
B 1294 799    9  207
B 1304 800    9  207
B 1314 800    9  207
B 1324 799    9  207
B 1335 799    9  207
B 1346 800    9  207
B 1356 799    9  207
B 1366 799    9  207
B 1376 799    9  207
B 1386 799    9  207
B 1396 799    9  207
B 1406 799    9  207
B 1416 800    9  207
B 1426 799    9  207
B 1436 799    9  207
B 1446 800    9  207
B 1456 800    9  207
B 1466 799    9  207
B 1476 799    9  207
B 1486 800    9  207
B 1496 800    9  207
B 1506 800    9  207
B 1516 799    9  207
B 1526 799    9  207
B 1536 800    9  207
B 1546 800    9  207
B 1556 799    9  207
B 1566 799    9  207
B 1576 800    9  207
B 1586 800    9  207
B 1596 799    8  207
B 1606 800    8  207
B 1616 800    8  207
B 1626 800    8  207
B 1636 800    8  207
B 1646 800    8  207
B 1656 800    8  207
B 1666 800    8  207
B 1677 800    8  207
B 1688 800    8  207
B 1698 800    8  207
B 1708 800    8  207
B 1718 800    8  207
B 1728 800    8  207
B 1738 800    8  207
B 1748 800    8  207
B 1758 800    8  207
B 1769 800    8  207
B 1780 799    8  207
B 1791 800    8  207
B 1801 800    8  207
B 1811 800    9  207
B 1821 800    8  207
B 1831 800    8  207
B 1841 800    8  207
B 1851 800    8  207
B 1861 800    8  207
B 1871 800    8  207
B 1881 801    8  207
B 1891 800    9  207
B 1901 800    8  207
B 1911 800    8  207
B 1921 799    9  207
B 1931 800    8  207
B 1941 800    8  207
B 1951 800    8  207
B 1961 801    8  207
B 1971 800    8  207
B 1981 800    9  207
B 1991 800    8  207
B 2001 800    9  207
B 2011 800    8  207
B 2021 800    9  207
B 2031 800    8  207
B 2041 800    8  207
B 2051 800    8  207
B 2061 800    8  207
B 2071 800    8  207
B 2081 800    8  207
B 2091 800    8  207
B 2101 800    8  207
B 2111 800    8  207
B 2121 800    8  207
B 2131 800    8  207
B 2141 800    8  207
B 2151 801    8  207
B 2161 800    8  207
B 2171 800    8  207
B 2181 800    8  207
B 2191 800    8  207
B 2201 800    8  207
B 2211 801    9  207
B 2221 801    8  207
B 2231 801    8  207
B 2241 800    8  207
B 2251 800    8  207
B 2261 800    8  207
B 2271 800    8  207
B 2281 801  -20  207
B 2291 800  -20  207
B 2301 800  -20  207
B 2311 795  -20  207
B 2321 794  -20  206
reset done 
B 2331 793   10  206
SSS v= 7940  t=  281
SSS  503  8876  5030   205
%P VOLT1   = 7919
%P VOLT2   = 7940
%P S2_SC   =  1.01
%P L_ANG_MAX = 281
S 7940   503  8876  5030
B 2341 794   30  205
B 2351 796   30  203
B 2361 789   30  202
B 2371 782   30  199
B 2381 781   30  197
B 2391 781   30  195
pull out 195
B 2401 776   10  193
B 2411 774   10  191
B 2421 787   10  191
B 2431 793   10  191
B 2441 795   10  191
B 2451 797   10  191
B 2461 798   10  191
B 2471 798   10  191
B 2481 798   10  191
B 2491 798   10  191
B 2501 798   10  191
B 2511 799   10  191
B 2521 798   10  191
B 2531 798   10  190
B 2541 798   10  189
B 2551 799   10  188
B 2561 798   10  187
B 2571 799   10  187
B 2581 798   10  187
B 2591 799   10  187
B 2601 799   10  187
B 2611 799   10  187
B 2621 799   10  187
B 2631 799   10  187
B 2641 799   10  187
B 2651 799   10  187
B 2661 799   10  187
B 2671 799   10  187
B 2681 799   10  187
B 2691 799   10  187
B 2701 799   10  187
B 2711 799   10  187
B 2721 799   10  187
B 2731 799   10  187
B 2741 799   10  187
B 2751 799   10  187
B 2761 799   10  187
B 2771 799   10  187
B 2781 799   10  187
B 2791 799   10  187
B 2801 799   10  187
B 2812 799   10  187
B 2822 800   10  187
B 2832 800   10  187
B 2843 800   10  187
B 2853 799   10  187
B 2863 800   10  187
B 2873 799   10  187
B 2883 799   10  187
B 2893 800   10  187
B 2903 799   10  187
B 2913 799   10  187
B 2923 799   10  187
B 2933 800   10  187
B 2943 799   10  187
B 2953 800   10  187
B 2964 800   10  187
B 2974 799   10  187
B 2984 799   10  187
B 2994 800   10  187
B 3004 800   10  187
B 3014 800   10  187
