%Initializing ... 
%  batt 7.80v 7.99v 
% * pre-auton 
%    pre-initializer 
B 6594 756   10 -110
B 6604 770   10  -99
B 6614 777   10  -85
B 6624 780   10  -72
B 6634 783   10  -58
B 6644 785   10  -45
B 6654 786   10  -32
B 6664 787   10  -20
pb end 
B 6674 787   10   -8
B 6684 788   10    1
SSS v= 7881  t=  166
SSS  -15   -67     9     8
%P VOLT1   = 7683
%P VOLT2   = 7884
%P S2_SC   =  1.01
%P L_ANG_MAX = 166
S 7884   -15   -67     9
B 6695 788  101    9
B 6705 788  101   14
B 6715 789  101   19
B 6725 774  101   21
B 6735 761  101   25
B 6745 762  101   31
B 6755 764  101   31
B 6765 749  101   32
B 6775 722  101   36
B 6785 695  101   42
B 6795 682  101   49
B 6806 680   74   61
B 6816 685   20   73
B 6826 698   20   85
B 6836 733   20   97
B 6846 754   20  110
B 6856 768   20  122
pull out 131
B 6866 775   10  133
B 6876 779   10  143
B 6886 782   10  154
B 6896 784   10  164
B 6907 786   10  174
B 6918 786   10  185
B 6928 787   10  193
B 6939 788   10  201
B 6950 788   10  208
B 6960 788   10  214
B 6971 788   10  220
B 6981 789   10  224
B 6991 789   10  228
B 7001 789   10  231
B 7011 789   10  233
B 7021 789   10  235
B 7031 789   10  236
B 7042 790   10  236
B 7054 790   10  236
B 7064 790   10  236
B 7074 790   10  236
B 7084 790   10  236
B 7094 790   10  236
B 7104 790   10  236
B 7114 790   10  236
B 7125 790   10  236
B 7135 790   10  233
B 7145 790   10  229
B 7155 791   10  227
B 7165 790   10  225
B 7175 790   10  223
B 7185 790   10  221
B 7195 790   10  219
B 7205 790   10  217
B 7215 790   10  216
B 7225 790   10  215
B 7235 791   10  213
B 7245 790   10  213
B 7255 790   10  212
B 7265 790 -121  211
B 7275 791 -121  210
B 7285 790 -121  209
B 7295 790 -121  209
B 7305 747 -121  208
B 7315 737 -121  207
B 7325 743 -121  205
